state,year_label,ewaste_proxy_tonnes,hazardous_recycling_tonnes,hazardous_disposal_tonnes,total_air_emission_kg,total_water_emission_kg,total_land_emission_kg,lead_air_kg,lead_water_kg,lead_land_kg,mercury_air_kg,mercury_water_kg,mercury_land_kg,cadmium_air_kg,cadmium_water_kg,cadmium_land_kg,nickel_air_kg,nickel_water_kg,nickel_land_kg,chromium_air_kg,chromium_water_kg,chromium_land_kg,copper_air_kg,copper_water_kg,copper_land_kg,zinc_air_kg,zinc_water_kg,zinc_land_kg,tvoc_air_kg,tvoc_water_kg,tvoc_land_kg,pm10_air_kg,pm10_water_kg,pm10_land_kg,pm25_air_kg,pm25_water_kg,pm25_land_kg
NSW,2017-2018,15580688.370116808,2589662.6009912197,12564571.146490935,701849047.325628,39458412.94638535,1371147.116121429,43106.395857851654,19.750990083,74882.78707377306,415.61820663348715,17.154859015524,6.2219078968862265,942.911963716343,3.344486292,3.8655641433452828,7608.507967999132,683.86888014,116.73019961776414,11834.379701158125,93.05785377100001,19426.934394488624,70833.96037018254,32616.0513177288,3859.7446965197605,140962.31050312388,37606.3119724894,129518.80207747105,8077660.859382422,0.0,0.0,119361600.43444651,0.0,0.0,3847551.6039136043,0.0,0.0
NSW,2018-2019,17086826.124448545,2504193.1069223564,14044892.269879417,744874047.5760859,42301792.93445573,851821.7648940177,48279.96882088053,33.615172781,68559.4998758,613.5949948881776,37.583400632840004,6.16565851,773.0604984699468,1.081650887,4.15902351,8754.54771857807,744.037888454,116.0628079,13081.58627677122,83.15786540500001,38710.8586301,81538.6193327939,36626.848949592,3815.259825,137695.61719586005,35425.554806355,121766.74294235848,7940807.954964478,0.0,0.0,126870271.13843715,0.0,0.0,4042120.6027490813,0.0,0.0
NSW,2019-2020,14095732.632769406,2483117.105028323,11209449.710082414,698867532.5645477,42831629.920943715,722809.9233281645,40459.85067563155,123.918318728,82094.18854260436,475.79117844256996,9.494758416637499,25.419265428244074,890.290147033434,5.9671847806,80.65225618119136,7839.49321671501,1201.750500134,1808.6937454642048,14440.559048165107,127.254192219,20404.804443739136,89699.64991702796,35625.346286954,2711.3053406915515,129655.81524771062,47820.28249303,139107.7882822091,8704402.877262766,0.0,0.0,129218831.93267053,0.0,0.0,4003611.8351432746,0.0,0.0
NSW,2020-2021,12724801.291323286,2655948.2447492075,9653481.864846295,681711550.1885842,45683686.671493135,702567.2019531796,39897.78027214701,1031.17841459,74989.25988111453,494.66593602753596,22.749188399999998,13.112764468185983,738.7889064823628,7.0525414589999995,0.5072504253396226,8821.157311695993,1259.74702159,128.51422944269544,17678.846940986547,149.95327458999998,48870.825930228595,97627.19590439845,34903.03633884,20750.91882114674,118905.98997734215,38625.126351,153594.16610816077,7470295.168174881,0.0,0.0,123795260.5176417,0.0,0.0,3955589.1595984385,0.0,0.0
NT,2006-2007,183378.01975820056,93460.22650765906,78607.85675354028,62669184.18319199,1003362.4210763666,17326.8218341697,71555.73921073505,35.2484813550663,32.23961714436637,517.4205034961468,2.3205211078096184,0.4439545871161845,751.7878253081182,38.32893425491266,2.0131886370606313,5246.0574034069905,177.25030595727443,59.4818842147196,768.2571247889656,84.80399238054275,50.362592566949814,5257.894713585578,156.66423824373246,76.08865020615029,170246.03937481853,19.860000133514404,148.1934166531987,3938361.426712192,84290.39999961853,65.51999961785972,4776139.0728582125,0.0,0.0,0.0,0.0,0.0
NT,2007-2008,188234.6970510304,95935.47496143228,80689.747448163,75617437.66842994,727608.3686818,67904.57311747826,95686.74555165198,60.720839999999995,186.664207279,142.30084342279997,1.582011,0.602294438,602.4727459220001,36.564440000000005,4.706764435,6180.412250426,262.6120198,1294.136397122,901.733905857,224.36011000000002,56.38985283699999,13330.990441296,215.51402000000002,746.600365653,211672.17369799,166.484341,3112.110061887,2303472.275373234,0.0,0.0,8498235.4476047,0.0,0.0,3825028.3029947,0.0,0.0
NT,2008-2009,193368.5760000443,98552.00168622956,82890.46496897729,78626148.08855626,705653.0287497,53699.018057003996,8108.424222701199,36.0678742,9.349947008000001,541.2570655208799,1.312112,0.32294206000000003,602.4567835732,32.246152,1.374811706,7091.1199153856,266.47989,62.336465,938.5931260492,311.58936,52.787053199999995,9500.9650561576,276.2578095,60.059367800000004,233097.437855244,171.422675,89.74276599999999,1826502.296444474,0.0,0.0,9435754.39911256,0.0,0.0,2877467.90044456,0.0,0.0
NT,2009-2010,197936.75501747246,100880.2144472755,84848.6863648677,81322613.18577123,769072.43969314,27546.94546051687,10724.822654519,62.018907,7.58222118702252,281.21167406219575,0.86440652,0.7471631812954526,587.81976842,26.12420652,0.8984692625605599,7491.287199245,279.78138,116.86070896737823,1125.637043748,133.581937,109.88530586554525,7217.167954007001,254.849208,119.19871271859073,272682.152814676,184.74478299999998,60.01195386851291,2062011.9683640546,0.0,0.0,8623853.79304619,0.0,0.0,749183.33335319,0.0,0.0
NT,2010-2011,200123.08532141952,101994.49698613638,85785.8910504413,79661318.74825495,1201197.57425731,11601.373292146405,5174.17210258429,400.91420636,7.257816367999999,297.5267467341279,1.1313924,0.6038006760000001,242.419556356,10.1396141,0.961321038,7501.250440389999,1148.635999,17.555063440999998,1244.381402169,364.211017,6.325763486,4120.40808594519,484.9282478,8.477211342999999,86112.305004921,1034.990734,63.920305666,1739468.3423381026,0.0,0.0,8335556.97181416,0.0,0.0,968438.68444826,0.0,0.0
NT,2011-2012,202355.34633121415,103083.2304023618,86797.68402976496,78957706.48004964,1071501.91827453,9678.098254449773,22709.594245841003,341.5436929,19.003676969471698,289.8031274606022,0.87086073,1.2759141129711589,315.50174619,5.1344495,2.0794419462603773,14766.711832862999,581.0229081,31.289579193161725,7603.9748323929,378.216143,12.126304420115904,7876.94477408,299.7161628,60.77362495040432,126674.13383155,1046.563169,122.6350993606469,1630555.2391441735,0.0,0.0,9426608.801952211,0.0,0.0,939125.6294503517,0.0,0.0
NT,2012-2013,208118.09971152525,106040.71607580158,89245.04947710337,73522587.63688417,1202183.554870349,5676.996840251166,11394.767996019726,141.7999222,15.187626229480276,349.0434304997927,1.32489935,0.8505226274807646,471.525365616,4.9856537,1.7190454985511723,10229.799172595,576.0371991000001,20.156798253549947,4400.2447003222005,285.337551099,9.389953561076451,7513.1907843341,372.96358299999997,33.63469578026881,161795.41001059985,1209.323962,80.88437895819979,1630408.484733919,0.0,0.0,10545982.434299627,0.0,0.0,763567.5353448263,0.0,0.0
NT,2013-2014,211164.32975451258,118458.36581520623,82968.66505067777,71585006.00788623,1295410.4178050528,12786.732501292227,12447.785534483779,108.862948037,11.610131992857143,202.4887584529841,1.10480553,0.41992483726530616,520.06857545,8.09268732,1.2724521955904762,9104.137669618,1197.117155,16.824685485170065,7210.194115960001,254.03602334299995,7.722290506530612,8370.5124958,1290.661892,34.994489359877555,159081.89598057,2382.3929227,95.67517900068027,2792997.67009684,0.0,0.0,11016834.689817801,0.0,0.0,768189.5400727876,0.0,0.0
NT,2014-2015,195730.90933325523,76432.00031662692,108471.89442724346,47555812.400520004,1017018.776760726,7138.292957331865,59071.51347941034,94.400169316,10.097111764754716,17.13769631156697,0.539913,0.4039027934167116,394.2806679723,2.801761634,0.9547807250566037,4491.0004637413,1371.9627796,11.205538001401617,7042.238170550275,108.4415475,4.601008331671159,7310.30545127406,184.966555,35.04000060750405,154131.50624802228,3256.4454382,58.31606941492491,3734790.740100821,0.0,0.0,9192213.442065164,0.0,0.0,750215.4105860521,0.0,0.0
NT,2015-2016,144027.69090853192,43325.81139528341,92684.16175909282,47839890.54916274,1457044.481768761,10752.780842480572,22110.15137930943,81.34564359299999,11.472616571793745,5.714503451497676,0.474173848,0.4309978412551785,133.64213357646972,1.053728329,1.2422164066208323,1716.0038059913331,342.0843898,11.29722696896725,3564.007749162489,145.92544112,5.186095986517851,2443.5133656352536,96.61228665,41.790819272966075,43664.63670628982,315.201498,54.04995235586899,3519002.957350367,0.0,0.0,11723418.686839325,0.0,0.0,662583.2903413838,0.0,0.0
NT,2016-2017,180786.60900507568,62780.985927019974,108654.5115155857,47109383.9918085,1481285.544077463,5683.028136763637,17562.966291211396,148.4944304049047,22.16811416153163,8.648366336340223,1.3689339138856,1.4531297183003014,89.95804540200001,10.322253375923701,2.1710412136736954,1309.172441116,446.0695450449047,30.173082751752023,3434.9630801793,243.62927914143333,14.715307630030123,2728.2166325,106.9512957449047,48.49057566702711,28807.7656867,980.8451688,106.91259280700808,3152759.7289839955,0.0,0.0,11877438.916961195,0.0,0.0,685768.8078291966,0.0,0.0
NT,2017-2018,169412.2663003148,64200.96205078799,97334.53216969954,48236625.42509127,1061531.9081685273,8102.791951494263,18410.3549690618,118.766514618,42.983706160946504,24.037038131779617,1.872090639,1.4045082906756812,93.47920037000002,8.213881555,4.251226003099223,1334.690383874,279.6964223184,29.23862299477628,3523.362999925,366.579421573,14.408237927568099,1872.80528632,103.221591718,154.6121950108113,28970.64644228,2522.840223,160.84360429910512,2494390.8467136403,0.0,0.0,13885961.182922421,0.0,0.0,695763.9776483832,0.0,0.0
NT,2018-2019,469662.86598000006,334810.77359150205,115134.19384589168,61009319.42601411,938948.3021116134,30263.552853964524,19070.121103734476,65.448554647375,45.76179820566037,11.125128064583414,0.8159099251499999,1.2488659390396224,99.873690691,5.1541191378999995,6.207309847924528,1947.029211985,177.94347464737498,30.791771696226416,4382.367405776,135.9638035805375,14.805243213962267,2293.586333,56.502217047399995,155.07475129056604,32603.46288739,1836.155088,1586.3465845849057,5932861.6024595,0.0,0.0,14855959.608021498,0.0,0.0,836892.3340857935,0.0,0.0
NT,2019-2020,327961.6723050743,161409.84984467246,148093.11215478805,82370866.32585977,1105100.0788185662,19536.70945358051,22912.028228868,43.8279373022,18.347508629550862,12.712869167772755,3.50746751364,1.7211240358528654,124.89622996899999,6.32238742576,1.860842464566858,2219.413369524,408.8593289322,36.42933350831185,6400.757779749,430.55917712254,17.740936285286537,2802.68639642,90.4577582322,21.78166470675788,36384.22337677,301.60986180000003,107.4153306332474,6190495.260496701,0.0,0.0,31400941.430855375,0.0,0.0,723324.3325956019,0.0,0.0
