state,n_years_total,waste_metric,environmental_metric,n_years_used,pearson_corr,abs_pearson_corr
ACT,15,hazardous_disposal_tonnes,zinc_water_kg,15,-0.21296787308414988,0.21296787308414988
ACT,15,hazardous_disposal_tonnes,zinc_land_kg,15,0.42792870301858377,0.42792870301858377
ACT,15,hazardous_disposal_tonnes,tvoc_air_kg,15,-0.1286267793657726,0.1286267793657726
ACT,15,hazardous_disposal_tonnes,tvoc_water_kg,15,,
ACT,15,hazardous_disposal_tonnes,tvoc_land_kg,15,,
ACT,15,hazardous_disposal_tonnes,pm10_air_kg,15,0.041504227374219105,0.041504227374219105
ACT,15,hazardous_disposal_tonnes,pm10_water_kg,15,,
ACT,15,hazardous_disposal_tonnes,pm10_land_kg,15,,
ACT,15,hazardous_disposal_tonnes,pm25_air_kg,15,0.10380077323917497,0.10380077323917497
ACT,15,hazardous_disposal_tonnes,pm25_water_kg,15,,
ACT,15,hazardous_disposal_tonnes,pm25_land_kg,15,,
NSW,15,ewaste_proxy_tonnes,total_air_emission_kg,15,-0.6516030649384386,0.6516030649384386
NSW,15,ewaste_proxy_tonnes,total_water_emission_kg,15,0.4953731882148206,0.4953731882148206
NSW,15,ewaste_proxy_tonnes,total_land_emission_kg,15,0.4229132301152678,0.4229132301152678
NSW,15,ewaste_proxy_tonnes,lead_air_kg,15,0.7010312599505741,0.7010312599505741
NSW,15,ewaste_proxy_tonnes,lead_water_kg,15,-0.2434655319851716,0.2434655319851716
NSW,15,ewaste_proxy_tonnes,lead_land_kg,15,0.7414795596862963,0.7414795596862963
NSW,15,ewaste_proxy_tonnes,mercury_air_kg,15,-0.5565997522769467,0.5565997522769467
NSW,15,ewaste_proxy_tonnes,mercury_water_kg,15,-0.5068906252461189,0.5068906252461189
NSW,15,ewaste_proxy_tonnes,mercury_land_kg,15,0.17542254519219602,0.17542254519219602
NSW,15,ewaste_proxy_tonnes,cadmium_air_kg,15,0.29891537625493114,0.29891537625493114
NSW,15,ewaste_proxy_tonnes,cadmium_water_kg,15,-0.3918209713297725,0.3918209713297725
NSW,15,ewaste_proxy_tonnes,cadmium_land_kg,15,0.28805175006113165,0.28805175006113165
NSW,15,ewaste_proxy_tonnes,nickel_air_kg,15,0.12918264335324872,0.12918264335324872
NSW,15,ewaste_proxy_tonnes,nickel_water_kg,15,-0.3913958681664063,0.3913958681664063
NSW,15,ewaste_proxy_tonnes,nickel_land_kg,15,0.24167269672091812,0.24167269672091812
NSW,15,ewaste_proxy_tonnes,chromium_air_kg,15,0.4437819248726891,0.4437819248726891
NSW,15,ewaste_proxy_tonnes,chromium_water_kg,15,-0.38713296361542765,0.38713296361542765
NSW,15,ewaste_proxy_tonnes,chromium_land_kg,15,0.23360081640852204,0.23360081640852204
NSW,15,ewaste_proxy_tonnes,copper_air_kg,15,0.5344131448308774,0.5344131448308774
NSW,15,ewaste_proxy_tonnes,copper_water_kg,15,0.6383595286284489,0.6383595286284489
NSW,15,ewaste_proxy_tonnes,copper_land_kg,15,-0.1007311130763049,0.1007311130763049
NSW,15,ewaste_proxy_tonnes,zinc_air_kg,15,0.5935426004272814,0.5935426004272814
NSW,15,ewaste_proxy_tonnes,zinc_water_kg,15,-0.5209265302356656,0.5209265302356656
NSW,15,ewaste_proxy_tonnes,zinc_land_kg,15,0.7154026605156425,0.7154026605156425
NSW,15,ewaste_proxy_tonnes,tvoc_air_kg,15,-0.8001463657654175,0.8001463657654175
NSW,15,ewaste_proxy_tonnes,tvoc_water_kg,15,-0.27408574957831244,0.27408574957831244
NSW,15,ewaste_proxy_tonnes,tvoc_land_kg,15,-0.2740857495783125,0.2740857495783125
NSW,15,ewaste_proxy_tonnes,pm10_air_kg,15,0.4808282381890956,0.4808282381890956
NSW,15,ewaste_proxy_tonnes,pm10_water_kg,15,,
NSW,15,ewaste_proxy_tonnes,pm10_land_kg,15,,
NSW,15,ewaste_proxy_tonnes,pm25_air_kg,15,-0.17482772250338233,0.17482772250338233
NSW,15,ewaste_proxy_tonnes,pm25_water_kg,15,,
NSW,15,ewaste_proxy_tonnes,pm25_land_kg,15,,
NSW,15,hazardous_recycling_tonnes,total_air_emission_kg,15,-0.16557498825829217,0.16557498825829217
NSW,15,hazardous_recycling_tonnes,total_water_emission_kg,15,0.11650531703233577,0.11650531703233577
NSW,15,hazardous_recycling_tonnes,total_land_emission_kg,15,-0.20191162384181485,0.20191162384181485
NSW,15,hazardous_recycling_tonnes,lead_air_kg,15,0.05325943938561272,0.05325943938561272
NSW,15,hazardous_recycling_tonnes,lead_water_kg,15,0.08759979398622167,0.08759979398622167
NSW,15,hazardous_recycling_tonnes,lead_land_kg,15,-0.20801190579418002,0.20801190579418002
NSW,15,hazardous_recycling_tonnes,mercury_air_kg,15,-0.3776553289797766,0.3776553289797766
NSW,15,hazardous_recycling_tonnes,mercury_water_kg,15,-0.26613311430633185,0.26613311430633185
NSW,15,hazardous_recycling_tonnes,mercury_land_kg,15,-0.42811808925574935,0.42811808925574935
NSW,15,hazardous_recycling_tonnes,cadmium_air_kg,15,0.35104419122360636,0.35104419122360636
NSW,15,hazardous_recycling_tonnes,cadmium_water_kg,15,-0.040218304044510426,0.040218304044510426
NSW,15,hazardous_recycling_tonnes,cadmium_land_kg,15,0.09752942212952634,0.09752942212952634
NSW,15,hazardous_recycling_tonnes,nickel_air_kg,15,0.2052098221147972,0.2052098221147972
NSW,15,hazardous_recycling_tonnes,nickel_water_kg,15,0.2800134029206726,0.2800134029206726
NSW,15,hazardous_recycling_tonnes,nickel_land_kg,15,0.03151272862637636,0.03151272862637636
NSW,15,hazardous_recycling_tonnes,chromium_air_kg,15,0.07711403720444827,0.07711403720444827
NSW,15,hazardous_recycling_tonnes,chromium_water_kg,15,0.13914340140894907,0.13914340140894907
NSW,15,hazardous_recycling_tonnes,chromium_land_kg,15,0.17589484915397613,0.17589484915397613
NSW,15,hazardous_recycling_tonnes,copper_air_kg,15,0.3627768653852649,0.3627768653852649
NSW,15,hazardous_recycling_tonnes,copper_water_kg,15,-0.32218927297509675,0.32218927297509675
NSW,15,hazardous_recycling_tonnes,copper_land_kg,15,-0.44985954697187275,0.44985954697187275
NSW,15,hazardous_recycling_tonnes,zinc_air_kg,15,0.0030421850613223463,0.0030421850613223463
NSW,15,hazardous_recycling_tonnes,zinc_water_kg,15,0.205282113983128,0.205282113983128
NSW,15,hazardous_recycling_tonnes,zinc_land_kg,15,-0.20931385652855025,0.20931385652855025
NSW,15,hazardous_recycling_tonnes,tvoc_air_kg,15,-0.08415786945150687,0.08415786945150687
NSW,15,hazardous_recycling_tonnes,tvoc_water_kg,15,-0.15552447174916603,0.15552447174916603
NSW,15,hazardous_recycling_tonnes,tvoc_land_kg,15,-0.15552447174916603,0.15552447174916603
NSW,15,hazardous_recycling_tonnes,pm10_air_kg,15,0.06536046405804924,0.06536046405804924
NSW,15,hazardous_recycling_tonnes,pm10_water_kg,15,,
NSW,15,hazardous_recycling_tonnes,pm10_land_kg,15,,
NSW,15,hazardous_recycling_tonnes,pm25_air_kg,15,0.2284139581309249,0.2284139581309249
NSW,15,hazardous_recycling_tonnes,pm25_water_kg,15,,
NSW,15,hazardous_recycling_tonnes,pm25_land_kg,15,,
NSW,15,hazardous_disposal_tonnes,total_air_emission_kg,15,-0.6526914098317136,0.6526914098317136
NSW,15,hazardous_disposal_tonnes,total_water_emission_kg,15,0.4941509530698097,0.4941509530698097
NSW,15,hazardous_disposal_tonnes,total_land_emission_kg,15,0.4641315425623659,0.4641315425623659
NSW,15,hazardous_disposal_tonnes,lead_air_kg,15,0.7168836582519983,0.7168836582519983
NSW,15,hazardous_disposal_tonnes,lead_water_kg,15,-0.2589336922560203,0.2589336922560203
NSW,15,hazardous_disposal_tonnes,lead_land_kg,15,0.7847563376530872,0.7847563376530872
NSW,15,hazardous_disposal_tonnes,mercury_air_kg,15,-0.531382013331924,0.531382013331924
NSW,15,hazardous_disposal_tonnes,mercury_water_kg,15,-0.4928323412885269,0.4928323412885269
NSW,15,hazardous_disposal_tonnes,mercury_land_kg,15,0.2274800632464016,0.2274800632464016
NSW,15,hazardous_disposal_tonnes,cadmium_air_kg,15,0.2700668164042706,0.2700668164042706
NSW,15,hazardous_disposal_tonnes,cadmium_water_kg,15,-0.3986764188607139,0.3986764188607139
NSW,15,hazardous_disposal_tonnes,cadmium_land_kg,15,0.286218218547963,0.286218218547963
NSW,15,hazardous_disposal_tonnes,nickel_air_kg,15,0.1128359080260293,0.1128359080260293
NSW,15,hazardous_disposal_tonnes,nickel_water_kg,15,-0.4391133626223542,0.4391133626223542
NSW,15,hazardous_disposal_tonnes,nickel_land_kg,15,0.24650890132224187,0.24650890132224187
NSW,15,hazardous_disposal_tonnes,chromium_air_kg,15,0.45192053047671593,0.45192053047671593
NSW,15,hazardous_disposal_tonnes,chromium_water_kg,15,-0.4121365638717932,0.4121365638717932
NSW,15,hazardous_disposal_tonnes,chromium_land_kg,15,0.21144377656188204,0.21144377656188204
NSW,15,hazardous_disposal_tonnes,copper_air_kg,15,0.5052689891143639,0.5052689891143639
NSW,15,hazardous_disposal_tonnes,copper_water_kg,15,0.6925920524195331,0.6925920524195331
NSW,15,hazardous_disposal_tonnes,copper_land_kg,15,-0.052251905728986574,0.052251905728986574
NSW,15,hazardous_disposal_tonnes,zinc_air_kg,15,0.6131404560918114,0.6131404560918114
NSW,15,hazardous_disposal_tonnes,zinc_water_kg,15,-0.564157470189837,0.564157470189837
NSW,15,hazardous_disposal_tonnes,zinc_land_kg,15,0.7579239910508169,0.7579239910508169
NSW,15,hazardous_disposal_tonnes,tvoc_air_kg,15,-0.8130606899097483,0.8130606899097483
NSW,15,hazardous_disposal_tonnes,tvoc_water_kg,15,-0.2647412100835163,0.2647412100835163
NSW,15,hazardous_disposal_tonnes,tvoc_land_kg,15,-0.26474121008351625,0.26474121008351625
NSW,15,hazardous_disposal_tonnes,pm10_air_kg,15,0.49097021743199376,0.49097021743199376
NSW,15,hazardous_disposal_tonnes,pm10_water_kg,15,,
NSW,15,hazardous_disposal_tonnes,pm10_land_kg,15,,
NSW,15,hazardous_disposal_tonnes,pm25_air_kg,15,-0.2059547933545025,0.2059547933545025
NSW,15,hazardous_disposal_tonnes,pm25_water_kg,15,,
NSW,15,hazardous_disposal_tonnes,pm25_land_kg,15,,
NT,15,ewaste_proxy_tonnes,total_air_emission_kg,15,0.34450855502574124,0.34450855502574124
NT,15,ewaste_proxy_tonnes,total_water_emission_kg,15,0.098827426944002,0.098827426944002
NT,15,ewaste_proxy_tonnes,total_land_emission_kg,15,0.33254735605995406,0.33254735605995406
NT,15,ewaste_proxy_tonnes,lead_air_kg,15,-0.14496500896068687,0.14496500896068687
NT,15,ewaste_proxy_tonnes,lead_water_kg,15,-0.2207181369900957,0.2207181369900957
NT,15,ewaste_proxy_tonnes,lead_land_kg,15,-0.011884538307083569,0.011884538307083569
NT,15,ewaste_proxy_tonnes,mercury_air_kg,15,-0.36674337722237116,0.36674337722237116
NT,15,ewaste_proxy_tonnes,mercury_water_kg,15,0.05373521193160784,0.05373521193160784
NT,15,ewaste_proxy_tonnes,mercury_land_kg,15,0.7088291132250889,0.7088291132250889
NT,15,ewaste_proxy_tonnes,cadmium_air_kg,15,-0.41184551981307227,0.41184551981307227
NT,15,ewaste_proxy_tonnes,cadmium_water_kg,15,-0.31607209088715077,0.31607209088715077
NT,15,ewaste_proxy_tonnes,cadmium_land_kg,15,0.41206583226686544,0.41206583226686544
NT,15,ewaste_proxy_tonnes,nickel_air_kg,15,-0.3228868969223543,0.3228868969223543
NT,15,ewaste_proxy_tonnes,nickel_water_kg,15,-0.19530443596105626,0.19530443596105626
NT,15,ewaste_proxy_tonnes,nickel_land_kg,15,-0.1120594974950491,0.1120594974950491
NT,15,ewaste_proxy_tonnes,chromium_air_kg,15,0.3488569769231008,0.3488569769231008
