state,year_label,total_air_emission_kg,total_water_emission_kg,total_land_emission_kg,lead_air_kg,lead_water_kg,lead_land_kg,mercury_air_kg,mercury_water_kg,mercury_land_kg,cadmium_air_kg,cadmium_water_kg,cadmium_land_kg,nickel_air_kg,nickel_water_kg,nickel_land_kg,chromium_air_kg,chromium_water_kg,chromium_land_kg,copper_air_kg,copper_water_kg,copper_land_kg,zinc_air_kg,zinc_water_kg,zinc_land_kg,tvoc_air_kg,tvoc_water_kg,tvoc_land_kg,pm10_air_kg,pm10_water_kg,pm10_land_kg,pm25_air_kg,pm25_water_kg,pm25_land_kg
ACT,2010-2011,594141.0681396296,724672.22,37.06,11.635123219574,0.3,0.0,6.215085983316101,0.1,0.0,4.042799360239,0.1,0.0,1.2293063421869999,10.6,0.0,2.5445722938714996,2.7,0.0,9.033172614251999,13.0,0.0,6.4191384585049995,29.0,0.0,25236.32170965488,0.0,0.0,23550.42990304,0.0,0.0,11731.03826444,0.0,0.0
ACT,2011-2012,1138532.7677659094,629267.24,242.09858961796448,32.093322555849,1.6,0.0152684552971698,7.411064787587294,0.2,0.000145413859973046,2.2805342617795,0.06,0.00339299006603774,7.5168265916175,34.0,0.0412005936590297,3.84164075010575,3.1,0.01454138599730458,9.961636903181999,18.7,0.0130872473975741,9.0335796198005,65.5,0.164802374636119,46377.325602100034,0.0,0.0,28174.43034711417,0.0,0.0,6209.26156797846,0.0,0.0
ACT,2012-2013,322907.3445380255,570118.5,248.6788342548813,53.483940653678005,1.3,0.016317256,3.9093054390367,0.1,0.000155402,6.816634073433,0.2,0.003626057,2.332883916389,16.0,0.044030691,3.2194008546605,2.6,0.015540244000000002,33.736378047444,7.9,0.01398622,8.922222103735,26.4,0.176122765,24322.56328131129,0.0,0.0,30502.91928406,0.0,0.0,7329.75845384,0.0,0.0
ACT,2013-2014,370537.55934085423,583317.76,245.7640380773628,45.224480630545,3.8,0.01560487,5.2267382086405005,0.2,0.000148618,4.560511261595,0.3,0.003467749,2.746840421135,12.6,0.042108379,4.2716252422575,3.1,0.014861781,24.80152364646,9.4,0.013375603,9.055711714525,106.0,0.168433517,19360.68021606285,0.0,0.0,38144.68726514063,0.0,0.0,9121.64033222656,0.0,0.0
ACT,2014-2015,575508.5568632637,860781.795,1028.823499975232,33.72550505872383,7.2,0.02201684,4.011831123672168,0.02,0.000209684,4.137391427425196,0.3,0.004892631,3.168003258022852,6.6,0.059410522,2.724399617188379,3.3,0.02096842,26.59680784117578,16.5,0.018871578,9.375159262282613,280.0,0.237642087,30591.53662365292,0.0,0.0,59931.700610861815,0.0,0.0,8918.20776787302,0.0,0.0
ACT,2015-2016,340096.27526674175,761678.335,949.014854809617,22.12330128830278,1.0,0.024671872,3.230657747628239,0.02,0.00023497,2.2319916006508356,0.1,0.005482638,2.1285284224281784,6.8,0.066574892,2.9423480562782762,3.4,0.02349702,5.871910230375289,13.5,0.021147319,8.682056154605913,60.8,0.266299568,18768.069874624816,0.0,0.0,38808.062919559015,0.0,0.0,6573.787476598754,0.0,0.0
ACT,2016-2017,454792.60728427663,841606.0,1007.5244490324039,12.732432970143554,4.0,0.028232674,2.3820067174194253,0.3,0.000268883,1.8975640989135736,0.2,0.006273927,2.0638812307006833,6.7,0.076183405,2.505480865423584,3.4,0.026888259999999997,2.794944815966797,6.7,0.024199434,8.577637538879397,23.5,0.30473362,34119.01142234729,0.0,0.0,84361.73136202028,0.0,0.0,7065.1103235713135,0.0,0.0
ACT,2017-2018,570834.5398367963,1034949.9,1275.5651335201449,22.89071581712839,307.4,0.031922304,3.6719578985495414,153.7,0.000304022,2.3976250741930962,0.0,0.007093845,26.23353706188841,12.3,0.08613955,34.48522748715696,0.3,0.030402194,27.06478638869705,9.2,0.027361975,36.96954840065794,18.4,0.344558198,62787.664141305926,0.0,0.0,99558.34033045376,0.0,0.0,7228.752337012785,0.0,0.0
ACT,2018-2019,638018.5982352203,784379.3,447.56716492029,3.970812934202059,0.9,0.031163352,1.5761899204753715,0.2,0.000296794,0.7917015705061329,0.0,0.006925189,66.26501653186942,12.1,0.084091586,87.38144114196268,0.3,0.029679383000000004,40.78027254164213,9.1,0.026711445,77.30270382260574,18.1,0.336366344,41511.353359442335,0.0,0.0,158248.04690566423,0.0,0.0,6590.070042831093,0.0,0.0
ACT,2019-2020,584901.2872008971,867515.72,584.314774310174,10.086870760096875,288.6,0.041574862,5.388433418941406,1.4,0.000395951,1.4622099412109375,0.0,0.009238858,2.424651946679688,11.5,0.112186135,3.0386406604492198,0.28,0.039595106000000005,6.41046818984375,8.7,0.035635596,9.520816407226565,17.3,0.448744539,37830.422724350894,0.0,0.0,162770.25486463966,0.0,0.0,5571.670255659781,0.0,0.0
ACT,2020-2021,1179043.4875542948,1027569.4035626145,639.5154484571591,5.815891979625,372.2,0.8457063,4.728297306,2.0,0.000635298,1.7076414,1.1914,0.010256999999999999,63.5175536,212.9,0.13153399999999998,86.9980384,36.3657,0.0475298,42.668588,357.2347,0.0565768,97.732744,204.8,0.493338,27654.58544892981,0.0,0.0,243489.167352,0.0,0.0,6012.376545,0.0,0.0
ACT,2021-2022,1070146.5422493233,1088974.33295,687.907893558232,9.9426948477375,6.427899999999999,0.050304999999999996,5.41091633,2.21005,0.00067881,1.0674512,1.4904,0.011218899999999999,0.7056336,233.5422,0.14283600000000002,3.6862812000000003,0.4014,0.047481,1.5211557000000002,381.2398,0.059292899999999996,39.435694,224.8041,0.538118,24022.46599131427,0.0,0.0,77355.4557,0.0,0.0,4387.035,0.0,0.0
ACT,2022-2023,1185865.1501358023,1048964.29819,710.163676939851,22.199675850000002,6.18079,0.0539175,3.91205218,2.1822,0.0006115960000000001,2.8170123,1.2261000000000002,0.0119972,16.2527308,239.2663,0.148952,8.7850583,8.947600000000001,0.0511596,3.5580437,506.74879999999996,0.060043599999999996,96.886855,237.6556,0.579808,29341.388545,0.0,0.0,167807.682645,0.0,0.0,10460.016725,0.0,0.0
ACT,2023-2024,1305285.3922634083,1091754.4389,763.433918843605,35.711825,6.7,0.0578066,5.942768,1.93,0.000648634,3.6654603,2.0099,0.0128515,20.7676972,220.716,0.159446,8.5354042,36.7196,0.0568634,21.213904,391.9028,0.0593771,154.436652,201.5,0.621786,25383.883819000002,0.0,0.0,242085.214727,0.0,0.0,16271.628007000001,0.0,0.0
ACT,2024-2025,1444272.4327829147,970259.9380000001,796.720342296966,19.97010418,3.75,0.061518300000000005,2.42410871,1.65,0.000634936,2.7356286,0.87,0.0136785,24.1821907,77.6,0.168132,9.2601462,24.2,0.0591936,12.1206186,128.758,0.0565443,143.734763,0.0,0.662928,25283.759911999998,0.0,0.0,233308.392062,0.0,0.0,17378.982062000003,0.0,0.0
NSW,1998-1999,339152231.07496834,21978131.0335,7432.9174410000005,1626.623998,1.4335,133.1546,274.10456,0.0,4.1e-05,70.73443999999999,0.2,0.0073,20.336,0.0,42.0,734.855531,4.5,176.04,2.0,0.0,0.0,13.89,0.0,0.0,629502.0,0.0,0.0,3281951.66,0.0,0.0,0.0,0.0,0.0
NSW,1999-2000,775811361.4782437,22407211.6422825,22455.664373692,33906.471275,1864.9419825,1607.872118,1057.248501,4.34,1.57,1012.240981,626.35,19.995435691999997,1811.9789750000002,40.14,26.64,3092.414474,40.6083,131.17020000000002,1087.8925749999999,19.6834,33.5,5316.795,607.73,2.52,3256493.33,203.29999999999998,729.6,32158446.0,0.0,0.0,0.0,0.0,0.0
NSW,2000-2001,905320256.2322516,32145315.00145,144405.51115,44466.754447,3712.7117,351.758,1415.0615088,37.5163,1.31,865.1028,910.7280000000001,21.0,3258.199779,2406.897,21.116,6041.271637,2643.3453000000004,110.01,11318.207626,21624.0984,29.976000000000003,23294.18192,62170.7839,5.1,3588153.549,0.0,0.0,47357211.61189,0.0,0.0,0.0,0.0,0.0
NSW,2001-2002,1199713310.0789292,34044682.80436665,190039.247312,39591.995993,8935.45,390.138,1154.4199447,7.76510025,1.09,1258.091412,550.7111,19.43,8176.180698,18796.222,12.768,10849.304302999999,10521.7810195,35440.640012,177210.317635,26483.191012400002,186.65,77428.14846,66122.964,198.47,12328507.6797,0.0,0.0,53930313.741,0.0,0.0,0.0,0.0,0.0
NSW,2002-2003,1277377813.9535403,34671926.97861185,317606.5432324,38191.9842548,3627.411015,6723.079,1605.8574269,12.240671760000001,39.232479999999995,1323.6733125,851.6100328,243.32457,9931.4502436,43.7761195,2716.685,11805.110725300001,4418.56900004,6648.348,141563.62863370002,30524.47552325,7983.817002399999,65304.34062,76534.564315,12187.329,13183839.973,0.0,0.0,59713764.35,0.0,0.0,0.0,0.0,0.0
