state,year_label,ewaste_proxy_tonnes,hazardous_recycling_tonnes,hazardous_disposal_tonnes
VIC,2011-2012,6211118.505564136,2401726.964491172,3567068.1365163606
VIC,2012-2013,6709835.6006838605,2769549.4217609437,3684961.9265481965
VIC,2013-2014,5639508.0779695315,2470124.5412192736,2973793.4857739024
VIC,2014-2015,5709352.507924724,2223170.010087037,3255681.823555504
VIC,2015-2016,6064674.510910938,2383122.6528582093,3447775.178476104
VIC,2016-2017,7403646.691282203,2656404.5489331433,4546195.122805217
VIC,2017-2018,9001958.074939169,2857610.415884426,5827063.781039188
VIC,2018-2019,8577957.38011157,3155058.565093893,5061582.288908359
VIC,2019-2020,11453312.865708321,4569698.475693062,6486892.6396233905
VIC,2020-2021,11494968.760990378,4645305.543390658,6477016.024332898
WA,2006-2007,2630129.516699056,1998192.0341121953,540286.4112837702
WA,2007-2008,2612275.862857984,1896142.6800784525,620449.8115643349
WA,2008-2009,2651464.463662388,1851279.835093168,700634.3789553524
WA,2009-2010,2776430.9540979257,1994790.5470412327,675569.0475252233
WA,2010-2011,3593278.017483899,2629977.56626149,845323.003948013
WA,2011-2012,3398354.666918032,2416447.9673029548,854156.1055201822
WA,2012-2013,3719981.183215852,2500482.90027155,1078104.4000108365
WA,2013-2014,3874719.5122221177,2644662.6784407306,1084416.7581504981
WA,2014-2015,3481643.4596830606,2320442.8147999533,1001917.6402519697
WA,2015-2016,3931491.8427918996,2609324.2892529783,1155207.086456391
WA,2016-2017,3695534.159470292,2358459.3341376497,1200583.0299909357
WA,2017-2018,4721597.747801822,2569725.710223332,1987015.5022182378
WA,2018-2019,4561950.331500266,2558728.7395333736,1810150.4057591208
WA,2019-2020,4444401.7239269,2625652.3630827414,1616769.6383616556
WA,2020-2021,4583398.016355466,2707198.3672051476,1660257.839431847
