report_year,state,metal,total_air_emission_kg,total_water_emission_kg,total_land_emission_kg,facility_count
2004/2005,TAS,Lead,2725.382805311463,12476.48698118478,58.47135079838336,46
2004/2005,TAS,Mercury,254.69437696262065,49.940215938011534,0.0101871349907012,41
2004/2005,VIC,Cadmium,363.0992599,212.396,63.375684,213
2004/2005,VIC,Lead,3935.7258266,572.069,946.390615,229
2004/2005,VIC,Mercury,181.8544684,45.30483,19.62797006,218
2004/2005,WA,Cadmium,1091.9740728280035,506.8512580636777,1430.1671872594516,152
2004/2005,WA,Lead,26805.05956647757,5923.92711748898,13875.638222891635,185
2004/2005,WA,Mercury,10348.383172411508,28.400262604577467,14.655253708468685,152
2005/2006,ACT,Cadmium,5.70100024870038,0.2,0,6
2005/2006,ACT,Lead,35.611700152684,0.6,0,6
2005/2006,ACT,Mercury,2.465399944057316,0.3,0,7
2005/2006,NSW,Cadmium,517.2075942,3.930773,3.822000000000001,180
2005/2006,NSW,Lead,13973.68554888,357.190357,91.6085,218
2005/2006,NSW,Mercury,1666.374929602,90.760918,0.174,173
2005/2006,NT,Cadmium,383.5855963977381,29.08329999819398,1.604474442741029,29
2005/2006,NT,Lead,59935.54429756146,28.6120001077652,11.021037806588568,31
2005/2006,NT,Mercury,169.91200846556418,0.9959999968111514,500.04274478213114,24
2005/2006,QLD,Cadmium,7064.7644,177.0283,236.637436428,299
2005/2006,QLD,Lead,455210.1667,792.5202,965.7001369,313
2005/2006,QLD,Mercury,1710.843635646,34.544999999999995,77.422404728,272
2005/2006,SA,Cadmium,3369.6550000928,690.0935,0.8916700000000001,80
2005/2006,SA,Lead,57533.4857100403,4580.744,593.35987,83
2005/2006,SA,Mercury,221.90715302233016,28.874000022888183,9.11347999996908,81
2005/2006,TAS,Cadmium,157.04684721120532,1426.9300108924508,0.2145509547553954,44
2005/2006,TAS,Lead,3851.938062512564,13023.435651302338,16.865478931460526,48
2005/2006,TAS,Mercury,186.22832926008675,27.382154043982155,0.0091950413334413,46
2005/2006,VIC,Cadmium,367.5871657,202.087,120.19106905,202
2005/2006,VIC,Lead,5091.8844725,519.312,1509.862449,220
2005/2006,VIC,Mercury,222.6363769,47.0472,16.79391809,208
2005/2006,WA,Cadmium,972.3663258909318,538.095213643085,203.051049637076,177
2005/2006,WA,Lead,47815.395138518616,4757.085394276898,12127.219574009565,201
2005/2006,WA,Mercury,10024.729767105911,15.437358783960866,83.42610359753175,169
2006/2007,ACT,Cadmium,5.564000038430095,0.2,0,5
2006/2007,ACT,Lead,49.24549834057688,0.7,0,5
2006/2007,ACT,Mercury,5.25690005836077,0.3,0,6
2006/2007,NSW,Cadmium,676.3534452,6.31014,6.2143,187
2006/2007,NSW,Lead,15361.4788947,637.2575,31.9721,219
2006/2007,NSW,Mercury,1362.0465938,61.679190000000006,0.2424,180
2006/2007,NT,Cadmium,751.7878253081182,38.32893425491266,2.0131886370606313,26
2006/2007,NT,Lead,71555.73921073505,35.2484813550663,32.23961714436637,27
2006/2007,NT,Mercury,517.4205034961468,2.320521107809618,0.4439545871161844,22
2006/2007,QLD,Cadmium,6665.1559,56.7526215,260.16549960000003,310
2006/2007,QLD,Lead,367026.7477,291.697042,747.3031996,320
2006/2007,QLD,Mercury,1933.585179446,4.0926528,5.070409,273
2006/2007,SA,Cadmium,3402.822030093,636.61,0.22721339,77
2006/2007,SA,Lead,62750.0218410412,4979.3,51.572513830000005,79
2006/2007,SA,Mercury,173.16160101206327,27.1,0.051071689,79
2006/2007,TAS,Cadmium,220.56446427054527,923.7940085828304,0.3678642330899531,42
2006/2007,TAS,Lead,4228.12372512219,11527.897509562968,104.93397352408988,46
2006/2007,TAS,Mercury,138.12421670574386,20.98215799331956,2.0941330835058993,43
2006/2007,VIC,Cadmium,383.0908,202.09,81.0159573,204
2006/2007,VIC,Lead,6400.19321,461.482,977.418694,223
2006/2007,VIC,Mercury,220.1060943,39.8298,19.29929044,212
2006/2007,WA,Cadmium,1952.0523917543,978.1230725904456,115.70767511479754,178
2006/2007,WA,Lead,31644.001371135,6933.5901344472395,9754.472648907058,214
2006/2007,WA,Mercury,8840.6687616032,18.51638571006396,102.5204975408604,176
2007/2008,ACT,Cadmium,2.2434953971,0.2,0,6
2007/2008,ACT,Lead,18.9941911886,0.6,0,6
2007/2008,ACT,Mercury,4.99460689629,0.3,0,7
2007/2008,NSW,Cadmium,706.267915544446,8.19727,2.3171995,177
2007/2008,NSW,Lead,12420.035697480636,784.47557,318.11014,212
2007/2008,NSW,Mercury,1271.960637682551,103.746697,18.468719,208
2007/2008,NT,Cadmium,602.4727459220001,36.564440000000005,4.706764435,36
2007/2008,NT,Lead,95686.74555165198,60.720839999999995,186.664207279,40
2007/2008,NT,Mercury,142.30084342279997,1.582011,0.602294438,35
2007/2008,QLD,Cadmium,15597.632659641,43.242682,158.383964866,308
2007/2008,QLD,Lead,372414.93766024703,286.8508,331.454440596,323
2007/2008,QLD,Mercury,1784.4979525556598,126.651384,3.7104360441,312
2007/2008,SA,Cadmium,3435.3130792287,414.61,0.23951675,84
2007/2008,SA,Lead,64356.14359618983,2942.02,67.78599375,89
2007/2008,SA,Mercury,311.01227029367965,20.18,1.3092265,96
2007/2008,TAS,Cadmium,136.89840314392688,1021.9261,0.900998911,51
2007/2008,TAS,Lead,3140.766406435314,7644.645068899999,130.529445102,58
2007/2008,TAS,Mercury,75.0611214220769,31.9304565,2.1084677082,52
2007/2008,VIC,Cadmium,343.6317301889013,218.1380063,72.01828351633334,201
2007/2008,VIC,Lead,5351.964839470477,390.30555,1149.641983902,224
2007/2008,VIC,Mercury,179.99519567729823,42.041430129,17.547569241719998,214
2007/2008,WA,Cadmium,2258.755584978758,620.5620154529412,192.19504178204693,192
2007/2008,WA,Lead,34402.22868718898,7192.0344200147065,1850.4973733628,218
2007/2008,WA,Mercury,8202.715860981853,40.745408835294114,60.2046808856,208
2008/2009,ACT,Cadmium,3.6922693391,0.1,0,8
2008/2009,ACT,Lead,22.5963250276,0.3,0,8
2008/2009,ACT,Mercury,3.15112454209,0.1,0,9
2008/2009,NSW,Cadmium,385.226106439247,9.5572300518,2.8059895289,189
2008/2009,NSW,Lead,11330.82165647164,315.87814653,79.24680239599999,225
2008/2009,NSW,Mercury,628.672666808911,94.188006229,5.212420860000001,218
2008/2009,NT,Cadmium,602.4567835732,32.246152,1.374811706,34
2008/2009,NT,Lead,8108.424222701199,36.0678742,9.349947008,39
2008/2009,NT,Mercury,541.2570655208799,1.312112,0.32294206,36
2008/2009,QLD,Cadmium,12880.969158748996,630.42124477,77.7360423902,308
2008/2009,QLD,Lead,293930.65273379773,925.990411774,206.0408233362,326
2008/2009,QLD,Mercury,1197.5651219294014,9.506570205,1.80697570973,312
2008/2009,SA,Cadmium,618.102212850025,413.141,2.260928738,93
2008/2009,SA,Lead,49241.61898501756,3641.357,15079.598985745,103
2008/2009,SA,Mercury,310.1631567524535,20.9295,34.073687781,106
2008/2009,TAS,Cadmium,77.874568713,1118.39,0.284786384,46
2008/2009,TAS,Lead,43368.693671127,3823.937,760.4835387280001,53
2008/2009,TAS,Mercury,35.8924969686,71.990075057,0.0885791312,51
2008/2009,VIC,Cadmium,332.2256637718,207.2653,1.618445449673,195
2008/2009,VIC,Lead,4395.343366771825,320.884935714,7.3197396655735,219
2008/2009,VIC,Mercury,167.5996360520228,47.869982593,1.2786637865786998,210
2008/2009,WA,Cadmium,2037.1361415018025,502.074213033,86.998205539748,198
2008/2009,WA,Lead,30741.56470036444,4758.8307672870005,782.455025443,227
2008/2009,WA,Mercury,9491.872833025916,36.770291779,36.9845627346712,219
2009/2010,ACT,Cadmium,1.937189649045,0.1,0,10
2009/2010,ACT,Lead,6.468603788495,0.2,0,12
2009/2010,ACT,Mercury,3.6907313372955,0.1,0,10
2009/2010,NSW,Cadmium,1074.573204993232,3.0205300518,3.8477557085,185
2009/2010,NSW,Lead,10172.03672358232,33.0722082465,142.246748834,229
2009/2010,NSW,Mercury,647.6479913534124,25.398830829,0.5192952421,213
2009/2010,NT,Cadmium,587.81976842,26.12420652,0.8984692625605599,27
2009/2010,NT,Lead,10724.822654519,62.018907,7.58222118702252,34
2009/2010,NT,Mercury,281.21167406219575,0.86440652,0.7471631812954524,30
2009/2010,QLD,Cadmium,16293.807447655698,122.7378325818376,37.91601149101244,282
2009/2010,QLD,Lead,179962.89609441775,181.79651058376,148.46347285255595,301
2009/2010,QLD,Mercury,944.6964737107212,4.90442385117216,0.613282302546246,303
2009/2010,SA,Cadmium,561.3459324245999,356.6137,0.3029533916981132,93
2009/2010,SA,Lead,46684.59847603806,3703.3086,60.45388749264151,100
2009/2010,SA,Mercury,151.56459544300142,16.727899999999998,0.0714694100727762,107
2009/2010,TAS,Cadmium,67.237337588,1121,0.4939287428708312,50
2009/2010,TAS,Lead,10542.192651178477,1833.77834844,10.373364741418742,56
2009/2010,TAS,Mercury,55.88586752231281,24.9508,0.0253892691017415,53
2009/2010,VIC,Cadmium,352.6552582217175,219.9563,3.5131231336046995,190
2009/2010,VIC,Lead,4367.28400958128,679.8405,17.004055196221145,213
2009/2010,VIC,Mercury,162.5273637595962,42.612460000000006,1.248134890440201,203
2009/2010,WA,Cadmium,1626.01424119366,434.45200024,106.4911587443326,203
2009/2010,WA,Lead,24313.87530397616,9235.2713608,1092.6092454930704,228
2009/2010,WA,Mercury,7271.503225361892,33.634610693,62.266434620401654,225
2010/2011,ACT,Cadmium,4.042799360239,0.1,0,9
2010/2011,ACT,Lead,11.635123219574,0.3,0,10
2010/2011,ACT,Mercury,6.215085983316101,0.1,0,11
2010/2011,NSW,Cadmium,793.522808018659,34.7843225386,8.5621757939872,203
2010/2011,NSW,Lead,25362.844906950093,145.949007188,207.2248375031424,255
2010/2011,NSW,Mercury,744.8033204736721,35.7374623276,2.69303781665088,235
2010/2011,NT,Cadmium,242.419556356,10.1396141,0.961321038,30
2010/2011,NT,Lead,5174.17210258429,400.91420636,7.257816367999999,34
2010/2011,NT,Mercury,297.5267467341279,1.1313924,0.6038006760000001,34
2010/2011,QLD,Cadmium,11747.837043014655,296.304776189,53.69539848075288,276
2010/2011,QLD,Lead,221419.57098673965,206.96357648,219.20375989688793,300
2010/2011,QLD,Mercury,811.930362499933,8.67382935,1.2431758619465505,303
2010/2011,SA,Cadmium,1502.4324145587916,362.7545,12.34170137781132,88
2010/2011,SA,Lead,51699.40563772789,3447.8372,67.77019387515094,97
2010/2011,SA,Mercury,271.4402448604525,14.7825,2.136898235477628,108
2010/2011,TAS,Cadmium,147.3233054697,3352.2190000000005,0.3875879321153638,53
2010/2011,TAS,Lead,8451.660264819651,70656.44827461,9.005780935519137,58
2010/2011,TAS,Mercury,38.558677498846144,19.8303947,0.0240260754758011,59
2010/2011,VIC,Cadmium,310.74749317727,219.482,1.3984967994028166,194
2010/2011,VIC,Lead,4920.20323495684,1106.531,11.178445794812676,211
2010/2011,VIC,Mercury,175.8679414818598,22.9505,0.5751081698458346,221
2010/2011,WA,Cadmium,1783.3881172588672,592.4665259,144.5957290550256,205
2010/2011,WA,Lead,29746.21178116112,6077.526471,1026.2738317063652,227
2010/2011,WA,Mercury,7264.26090815904,28.7609485,94.57387807777968,226
2011/2012,ACT,Cadmium,2.2805342617795,0.06,0.0033929900660377,10
2011/2012,ACT,Lead,32.093322555849,1.6,0.0152684552971698,11
2011/2012,ACT,Mercury,7.411064787587294,0.2,0.000145413859973,13
2011/2012,NSW,Cadmium,704.6737425449877,4.174794965,9.466854477059186,213
2011/2012,NSW,Lead,43388.83274263799,210.77363063925,207.0357553247663,261
2011/2012,NSW,Mercury,564.3511825472096,24.7487415845875,2.6797295523931024,251
2011/2012,NT,Cadmium,315.50174619,5.1344495,2.0794419462603773,28
2011/2012,NT,Lead,22709.594245841003,341.5436929,19.003676969471694,35
2011/2012,NT,Mercury,289.8031274606022,0.87086073,1.2759141129711589,31
2011/2012,QLD,Cadmium,11459.010329738412,25.1881500534,33.53783578359969,253
2011/2012,QLD,Lead,152684.71295077508,128.86607554,102.28397740794304,286
2011/2012,QLD,Mercury,679.0495510523621,62.48993665229167,0.7461296507999896,315
2011/2012,SA,Cadmium,7118.386383451696,812.5863,20.383793983801887,80
2011/2012,SA,Lead,68479.2027040761,6433.7558,115.37165756535848,89
2011/2012,SA,Mercury,295.11337568619206,12.0084,3.215489443490795,105
2011/2012,TAS,Cadmium,149.951382310202,3372.6020000000003,0.2783681793342317,47
2011/2012,TAS,Lead,14046.930547499343,2559.73441,9.440678807504044,51
2011/2012,TAS,Mercury,26.54454486395956,17.5695947,0.0202960662714669,51
2011/2012,VIC,Cadmium,340.550970362565,204.4364,3.1215661878916614,190
2011/2012,VIC,Lead,3777.320338212565,866.007,14.125608092510587,211
2011/2012,VIC,Mercury,1628.8869605287616,22.326003,0.7688369861513489,227
2011/2012,WA,Cadmium,2099.6700340956454,625.69793957,136.10022768743525,253
2011/2012,WA,Lead,23786.190955074188,3840.41906315,1143.1570347989586,280
2011/2012,WA,Mercury,6170.0079613836215,41.2096616798,68.14199432714132,271
2012/2013,ACT,Cadmium,6.816634073433,0.2,0.003626057,10
2012/2013,ACT,Lead,53.483940653678005,1.3,0.016317256,11
2012/2013,ACT,Mercury,3.9093054390367,0.1,0.000155402,13
2012/2013,NSW,Cadmium,772.7382779791938,10.692252081,5.4638178535058435,201
2012/2013,NSW,Lead,39540.57006701831,474.636690732,213.3567071917763,241
