state_scope,state_full_name,provider_name,search_query,source_type,verification_level,place_id,display_name,formatted_address,suburb,state,postcode,latitude,longitude,national_phone_number,website_uri,google_maps_uri,business_status,primary_type,types,accepted_items,note,in_state_bbox,passes_name_filter,passes_state_filter,confidence_score,keep,data_quality_status,corrected_source_type,corrected_accepted_items,quality_reason,final_keep,manual_review_required
ACT,Australian Capital Territory,Coles,Coles battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJ49Od_OtUFmsR5GCnHat8Kt0,Coles Amaroo,"Horse Park Dr, Amaroo ACT 2912, Australia",Horse Park Dr,ACT,2912,-35.1645604,149.1320725,(02) 6223 0500,http://www.coles.com.au/find-stores/coles/act/amaroo-5784,https://maps.google.com/?cid=15936687305782681828&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,supermarket,supermarket|grocery_store|food_store|store|food|point_of_interest|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Coles,Coles battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJbf5I23CtF2sRqq3ZJYem2iA,Coles Belconnen,"Benjamin Way, Belconnen ACT 2617, Australia",Benjamin Way,ACT,2617,-35.2380059,149.0647581,(02) 6256 1300,http://www.coles.com.au/find-stores/coles/act/belconnen-779,https://maps.google.com/?cid=2367387653522435498&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,supermarket,supermarket|grocery_store|food_store|store|food|point_of_interest|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Coles,Coles battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJjVRG6GVNFmsR1sDCsXw-w3Q,Coles Canberra Civic,"Bunda St &, Petrie St, Canberra ACT 2601, Australia",Petrie St,ACT,2601,-35.2790154,149.1332496,(02) 6276 2100,http://www.coles.com.au/find-stores/coles/act/canberra-city-4787,https://maps.google.com/?cid=8413637234137415894&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,grocery_store,grocery_store|supermarket|food_store|store|food|point_of_interest|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Coles,Coles battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJXxjpaJZKFmsRY8ube7gfawo,Coles Chisholm,"Shopping Centre, 42 Halley St, Chisholm ACT 2905, Australia",42 Halley St,ACT,2905,-35.414047499999995,149.12868029999998,(02) 6298 5100,http://www.coles.com.au/find-stores/coles/act/chisholm-858,https://maps.google.com/?cid=750728640095570787&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,supermarket,supermarket|grocery_store|food_store|store|food|point_of_interest|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Coles,Coles battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJ908-QV2zF2sRViYKvPd99gk,Coles Curtin,"Curtin Centre, 51 Curtin Pl, Curtin ACT 2605, Australia",51 Curtin Pl,ACT,2605,-35.3256088,149.0824303,(02) 5156 6400,http://www.coles.com.au/find-stores/coles/act/curtin-735,https://maps.google.com/?cid=717899693577348694&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,supermarket,supermarket|grocery_store|food_store|store|food|point_of_interest|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Coles,Coles battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJ6c3XBZxUFmsRUoRSAjP3be0,Coles Gungahlin,"Hibberson St &, The G-Gungahlin, Gungahlin Pl, Gungahlin ACT 2912, Australia",Gungahlin Pl,ACT,2912,-35.186460499999995,149.1358956,(02) 6123 4500,http://www.coles.com.au/find-stores/coles/act/gungahlin-803,https://maps.google.com/?cid=17108602357904737362&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,supermarket,supermarket|grocery_store|food_store|store|food|point_of_interest|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Coles,Coles battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJz0Tr0oKyF2sRO5rhv6dBlkY,Coles Jamison,"Jamison Plaza, Bowman St, Macquarie ACT 2614, Australia",Bowman St,ACT,2614,-35.2528076,149.0713348,(02) 6256 2200,http://www.coles.com.au/find-stores/coles/act/macquarie-748,https://maps.google.com/?cid=5086325017896131131&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,supermarket,supermarket|grocery_store|food_store|store|point_of_interest|food|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Coles,Coles battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJi50tQ9WsF2sRNcITMpCS1QE,Coles Kaleen,"Kaleen Plaza Shopping Centre, 1 Maribyrnong Ave, Kaleen ACT 2617, Australia",1 Maribyrnong Ave,ACT,2617,-35.2203794,149.1030921,(02) 6204 8700,http://www.coles.com.au/find-stores/coles/act/kaleen-plaza-4785,https://maps.google.com/?cid=132172912090399285&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,supermarket,supermarket|grocery_store|food_store|point_of_interest|food|store|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Coles,Coles battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJiyO5SexMFmsRXAQqht7cJXM,Coles Manuka,"Franklin Street &, Flinders Way, Griffith ACT 2603, Australia",Flinders Way,ACT,2603,-35.3210507,149.1342033,(02) 6126 9600,http://www.coles.com.au/find-stores/coles/act/griffith-859,https://maps.google.com/?cid=8297280736791757916&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,supermarket,supermarket|grocery_store|food_store|store|food|point_of_interest|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
ACT,Australian Capital Territory,Coles,Coles battery recycling ACT Australia,battery_drop_off,battery_dropoff_but_branch_check_recommended,ChIJqVScFYXKF2sRBMwZq4l4S6M,Coles Tuggeranong,"Pitman St &, Tuggeranong Hyperdome (ACT, Anketell St, Greenway ACT 2900, Australia",Anketell St,ACT,2900,-35.41449000000001,149.06686019999998,(02) 6293 2355,http://www.coles.com.au/find-stores/coles/act/tuggeranong-911,https://maps.google.com/?cid=11766630984112000004&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,OPERATIONAL,supermarket,supermarket|grocery_store|food_store|point_of_interest|food|store|establishment,used household batteries only; not a general e-waste provider,Battery-only supermarket drop-off candidate. Verify branch-level availability.,True,True,True,1.0,True,battery_only,battery_drop_off,household batteries only; not general e-waste,Supermarket or hardware chain treated as battery-only collection point.,True,False
