health_metric,emissions_metric,n_state_year_pairs,n_predictors,raw_beta,standardized_beta,abs_standardized_beta,intercept,r_squared,adjusted_r_squared,condition_number
pad_percent,pm25_air_kg,40,27,9.969528034574477e-07,1.042073032712442,1.042073032712442,49.5510300031559,0.8771071519493557,0.600598243835406,877691315.9059019
pad_percent,zinc_land_kg,40,27,-8.785456459908906e-05,-0.9724744960875622,0.9724744960875622,49.5510300031559,0.8771071519493557,0.600598243835406,877691315.9059019
pad_percent,nickel_water_kg,40,27,0.0020393766591600745,0.9451203553577918,0.9451203553577918,49.5510300031559,0.8771071519493557,0.600598243835406,877691315.9059019
pad_percent,total_land_emission_kg,40,27,-3.5204944829072914e-06,-0.7659804437665398,0.7659804437665398,49.5510300031559,0.8771071519493557,0.600598243835406,877691315.9059019
pad_percent,lead_land_kg,40,27,-0.00012589599314025992,-0.7316301022029141,0.7316301022029141,49.5510300031559,0.8771071519493557,0.600598243835406,877691315.9059019
pad_percent,copper_air_kg,40,27,-3.861375831763319e-05,-0.6071530781085832,0.6071530781085832,49.5510300031559,0.8771071519493557,0.600598243835406,877691315.9059019
pad_percent,zinc_water_kg,40,27,7.168641146803417e-05,0.5898368019286002,0.5898368019286002,49.5510300031559,0.8771071519493557,0.600598243835406,877691315.9059019
pad_percent,chromium_water_kg,40,27,0.0005455390780579754,0.5754259135367277,0.5754259135367277,49.5510300031559,0.8771071519493557,0.600598243835406,877691315.9059019
pad_percent,cadmium_air_kg,40,27,-0.0017157475516909341,-0.43312491536159925,0.43312491536159925,49.5510300031559,0.8771071519493557,0.600598243835406,877691315.9059019
pad_percent,mercury_land_kg,40,27,0.16704634247756892,0.35514498322112353,0.35514498322112353,49.5510300031559,0.8771071519493557,0.600598243835406,877691315.9059019
pad_percent,cadmium_water_kg,40,27,-0.0018477294294375309,-0.3346548774037308,0.3346548774037308,49.5510300031559,0.8771071519493557,0.600598243835406,877691315.9059019
pad_percent,chromium_air_kg,40,27,-1.1044217324228268e-05,-0.30811570676658917,0.30811570676658917,49.5510300031559,0.8771071519493557,0.600598243835406,877691315.9059019
