state,year_label,total_air_emission_kg,total_water_emission_kg,total_land_emission_kg,lead_air_kg,lead_water_kg,lead_land_kg,mercury_air_kg,mercury_water_kg,mercury_land_kg,cadmium_air_kg,cadmium_water_kg,cadmium_land_kg,nickel_air_kg,nickel_water_kg,nickel_land_kg,chromium_air_kg,chromium_water_kg,chromium_land_kg,copper_air_kg,copper_water_kg,copper_land_kg,zinc_air_kg,zinc_water_kg,zinc_land_kg,tvoc_air_kg,tvoc_water_kg,tvoc_land_kg,pm10_air_kg,pm10_water_kg,pm10_land_kg,pm25_air_kg,pm25_water_kg,pm25_land_kg,start_year,end_year,health_year,population,deaths,crude_rate_per_100000,age_standardised_rate_per_100000,premature_deaths,premature_deaths_percent,premature_deaths_asr_per_100000,potential_years_of_life_lost,pyll_rate_per_1000,potentially_avoidable_deaths,pad_percent,pad_asr_per_100000,median_age,alignment_used
NT,2023-2024,71027762.70356588,1441995.9948926703,110780.68636992158,27178.4605245868,953.4942617234618,62.15107708,15.5490904125,43.3312195983232,6.0457372245,154.5605124263,51.1751634537695,6.412445563,2677.7405728983,575.8489478734618,123.69938529,10114.6149797807,21391.364147411423,61.318069300000005,3114.8621082000004,467.7848071734618,66.6197393,40191.049520927,18220.4252,365.90523,6099765.6719212,0.0,0.0,28410582.76486819,0.0,0.0,758314.5465796873,0.0,0.0,2023,2024,2023,252529,1253,496.2,671.9,856,68.3,369.8,17824,72.8,480,56.1,204.4,67.2,start_year
QLD,2019-2020,1257915277.0550787,3138867.256545755,1100319.7382332238,92321.03139487332,89.10920845,149.22256342896347,1976.07790907942,9.5594779475,1.4375966335710808,1726.7904831494257,23.527352,9.134317170991883,32725.741777205505,418.510506775,445.0030368014729,45145.50482481625,116.807328075,811.8894490091081,71703.09522744907,927.6725953,2480.4820677393973,280586.4174441329,2200.46211535,8469.30024800889,14503634.398594292,0.0,0.0,301665866.6299515,0.0,0.0,12301053.60252256,0.0,0.0,2019,2020,2019,5088847,32470,638.1,535.6,11982,36.9,211.9,195523,41.1,6145,51.3,111.6,80.4,start_year
QLD,2020-2021,1383754767.8807614,3240965.52845954,957049.497773736,96291.90381734174,78.795948505,180.2966073942697,1903.7731162924292,5.154675570999999,7.909003561340664,1589.4784591576297,37.319109468,97.04428331718216,38833.71342125475,373.747809086,3103.6146293648544,50970.80840688385,94.01930982,10611.611005716066,254576.00882026367,449.17602551,10015.42095546466,323114.8727860278,2120.1397045,10636.805571303415,15545739.130133357,0.0,0.0,343483294.5437243,0.0,0.0,11803253.310463935,0.0,0.0,2020,2021,2020,5165613,31367,607.2,501.0,11547,36.8,200.5,191191,39.7,5867,50.8,105.0,80.3,start_year
QLD,2021-2022,1393453322.7602026,3594195.5304090083,813503.0309423782,117017.39074777871,161.94885150349998,232.80536388950404,2443.881783430148,4.2967341828,2.7370905406,2676.3702012822405,24.4501868938,30.0782410831,39062.85422059902,455.251585837,493.0304072518064,54761.47643358142,115.3135045398,1254.9196458265,97495.3323321032,1337.442163814,2554.458653525004,308295.906672488,2573.48876071,3424.7992482346,14131511.559749588,0.0,0.0,357324777.46602094,0.0,0.0,10648816.403166717,0.0,0.0,2021,2022,2021,5215814,33858,649.1,521.5,12139,35.9,206.2,197114,40.6,6038,49.7,106.1,80.7,start_year
QLD,2022-2023,1318197886.39649,3968173.093379169,672291.9152755826,132190.18387042207,284.5434784,715.134210164,2419.6372302923583,38.41051563,12.2018417096,2546.2257802127147,27.39530275,37.99761086711,39471.40796421817,529.597507,1131.1397331111,53875.6792131871,176.5572079,3433.9673049514,126151.97730091336,2578.6673807,5539.3994509842005,325489.261132644,6574.2952055,10052.688423954,15035126.695254449,0.0,0.0,361331100.02050585,0.0,0.0,10496349.761690916,0.0,0.0,2022,2023,2022,5320941,38160,717.2,564.4,12854,33.7,214.3,207251,42.0,6355,49.4,109.0,81.1,start_year
QLD,2023-2024,1402616017.1048136,3877473.452257535,650207.0176648435,216876.8028068124,127.6378460081,126.7886990874,1355.020905586507,4.02787198534,2.204681844845,3944.6761549181865,14.3935119411,11.34098525326,41472.65635311784,264.2069036781,480.80775250795,57912.15561377579,71.5718961081,1254.40866076475,129240.84353380474,460.8324036881,6045.609959081199,354001.329806364,4318.4469722,1149.3823909534,16126361.774082944,0.0,0.0,415900574.1431461,0.0,0.0,10688116.517540518,0.0,0.0,2023,2024,2023,5460420,36622,670.7,524.0,12644,34.5,206.8,203964,40.4,6331,50.1,106.1,80.8,start_year
SA,2019-2020,232807265.2036865,2424178.890533797,514304.3682321087,48560.33239513243,19788.53495402,34.84865263915094,216.038080775154,6.379437167,3.997698982991914,1072.1658267516975,1068.1742627,87.00487886981131,5378.768906992544,450.94446617,193.35804944770888,5930.660033207772,587.97127167,106.15915789919136,37024.68107079675,9675.4011344,222.90774008927224,42823.964343997606,58492.69,39.56421179083558,9352978.865638766,0.0,0.0,27536261.53996818,0.0,0.0,1239860.216735589,0.0,0.0,2019,2020,2019,1767395,13913,787.2,527.8,4390,31.6,210.3,67729,41.8,2151,49.0,106.5,82.9,start_year
SA,2020-2021,234663764.7537189,2313267.2048625,546092.7020437951,65014.50989912131,17493.611694,31.64024489635472,124.0845888710608,6.7239847,3.086333730250997,1115.379153156601,815.4478388,101.4766137358566,5093.15520660863,416.168347,221.4117470511159,5701.171480315464,545.194847,119.75877745509972,43398.94877287205,25136.672104,253.82862798258972,51812.64168868819,37949.94,35.19886238446361,8726968.421867916,0.0,0.0,27018509.217844225,0.0,0.0,1306181.268927354,0.0,0.0,2020,2021,2020,1790355,13607,760.0,504.7,4297,31.6,200.5,64606,39.4,2061,48.0,100.2,82.6,start_year
SA,2021-2022,235132490.95187292,2222601.5068625,457068.4308023925,72298.7701811202,17421.008166,22.99641124,240.564452900586,5.7008583,2.463902436,2890.1396568258,895.1434332,91.89837284,5090.3335344125,412.268583,233.07593094,5743.0955467477,1050.618583,139.334873289,36744.8395005693,38871.014656,252.32438045,48028.073315704,30396.32,31.3817029,8333216.46872205,0.0,0.0,28525265.835888304,0.0,0.0,1330259.4377191083,0.0,0.0,2021,2022,2021,1802601,14494,804.1,521.1,4498,31.0,206.3,67686,41.2,2139,47.6,101.5,83.1,start_year
SA,2022-2023,211745995.987395,2684471.798246543,365744.0725467596,77666.40019752596,25366.11614216,77.86321455,429.300158808029,25.7355071081,11.275359698,1683.84608527734,1901.382028432,136.42730942799997,5076.31808137068,574.495071081,286.061474719,5589.14155336113,1241.1650710810002,178.779534514,40735.93172737096,44186.6822746,268.82149529400004,42193.110263056,45780.19,30.488803516,6516028.507322262,0.0,0.0,27545960.458615147,0.0,0.0,1047897.4558063748,0.0,0.0,2022,2023,2022,1821215,15455,848.6,541.2,4626,29.9,209.2,67941,41.0,2067,44.7,96.9,82.9,start_year
